id,name,artists,stream_counts
2nR51wakN5K3AJENqGaNg9,Bài Này Chill Phết,"['Đen', 'MIN']",33984677.0
51bYFYWODfYOZU0rwvjiCc,Cho Mình Em,"['Binz', 'Đen']",16914034.0
28ncfVOBRp3HGweSZ6Wb8C,Đưa Nhau Đi Trốn - Chill Version,"['Đen', 'Linh Cáo']",16786010.0
7td8DTWoGC9u9db37mGHX6,Nấu ăn cho em,"['Đen', 'PiaLinh']",18131091.0
4FT18tLTmf3QNBzG5r6OTj,Mười Năm (Lộn Xộn 3),"['Đen', 'Ngọc Linh']",15642327.0
34zLev2Poav7NqDi6zWTtb,Làm Gì Phải Hốt,"['Hoàng Thùy Linh', 'JustaTee', 'Đen']",12454137.0
5ppEcbmLECxrMYgDxwIJaP,Anh Đếch Cần Gì Nhiều Ngoài Em,"['Đen', 'Thành Đồng', 'Vũ.']",20826399.0
5WkJN8HoGWMrd0yDI0OxwA,Vị Nhà,['Đen'],831239.0
57lYw21pS9FprSeJimskIC,Mang Tiền Về Cho Mẹ,"['Đen', 'Nguyên Thảo']",9651750.0
3ESeHjnPRxAg4mW3KsFyXi,một triệu like,"['Đen', 'Thành Đồng']",9560276.0
34uOIsoy6ETS2sxOTWBRDF,Trốn Tìm,"['Đen', 'MTV Band']",15390548.0
4ZnUwg0iLA7HBlEH2TLtOS,Đi Theo Bóng Mặt Trời,"['Đen', 'Giang Nguyễn']",12321333.0
6rhPfrew3JeBBVL4iVMOAt,Hai Triệu Năm,"['Đen', 'Biên']",12888357.0
0cuVWvlDAn6IErlvsZYKZf,Ta Cứ Đi Cùng Nhau,"['Đen', 'Linh Cáo']",5954397.0
7abJKdWP25uct1mcCrWNZw,Đố em biết anh đang nghĩ gì,"['Đen', 'JustaTee', 'Biên']",6988431.0
3pIlrW2AodAg75pnAoCNhl,Cô gái bàn bên,"['Đen', 'Lynk Lee']",10032433.0
6SjnTRDyTM162pPOAM0O8M,Gieo Quẻ (feat. Đen),"['Hoàng Thùy Linh', 'Đen']",11306138.0
703QXwWn5KdNaoviarYHAO,Trời hôm nay nhiều mây cực!,['Đen'],11042813.0
3qwIw2DRkmZKQxFbkT07yy,Loving You Sunny,"['Kimmese', 'Đen']",8409866.0
2EPwdOEsJ7XaHz87t33YDA,Mở Mắt,"['Lil Wuyn', 'Đen']",3338228.0
2WN0b4wVQas5N90CPTmWP4,Ngày Khác Lạ,"['Đen', 'Giang Pham', 'Triple D']",5159086.0
7ArVzlFsFsQXNseVXmdOyk,NVMD,['Denise Julia'],228209665.0
6RiiSy9GzSwiyDEJDiMuKe,Something About You,"['Eyedress', 'Dent May']",645167211.0
7lkWAB0Ru7WEa0mkdgiqJG,Gieo Quẻ (feat. Đen),"['Hoàng Thùy Linh', 'Đen']",11310633.0
2g4SDDopqYKg1f4f2TvPwJ,Track in Time - Piano Version,['Dennis Kuo'],3234080.0
