id,name,popularity,followers,genres
49lqmGqzQjQCQvAqGIevkN,BCTM,24,48664,"['vietnamese hip hop', 'v-pop']"
0TZKKZG6WHl2aVFPDtND82,Độ Mixi,25,72827,"['vietnamese hip hop', 'v-pop', 'vinahouse']"
001OedRF8lGo3og3aHDTy6,Thai Trinh,26,8097,"['v-pop', 'vietnam indie', 'vietnamese hip hop']"
4P95HBikaVomMvtD6vg1vD,Elvis Phương,29,44646,"['vietnamese bolero', 'bolero', 'v-pop']"
0wKSHn2UG5Ycwj7zCCdCFn,Loan Châu,29,2892,"['vietnamese bolero', 'v-pop']"
5trMq1OIockzQVpFicyrpn,Lam Anh,29,13452,"['vietnamese bolero', 'bolero', 'v-pop']"
2gScaMRuLR5xEN8x3h0Pq3,Tú Quyên,30,5978,"['vietnamese bolero', 'v-pop']"
3KTUDQL8OV9Sv6mvLJpS5W,Mạnh Quỳnh,29,46779,"['vietnamese bolero', 'bolero']"
464lg9IWmEnZAqVVwbkO9t,Hợp Ca,27,5496,['vietnamese bolero']
7uSNudh9nTnHLyfs6uQqFv,Hương Thủy,29,10181,"['vietnamese bolero', 'bolero', 'v-pop']"
3Z1ArowingijWbVesn0aON,Pink Frog,24,17034,"['vietnam indie', 'v-pop']"
5Bh96Q2p3ZPFLin3pt7NsN,Lệ Thu,27,32848,"['vietnamese bolero', 'bolero', 'v-pop']"
21MG3ongZHFbUnXpK8prTg,Tạ Quang Thắng,24,4487,"['vietnam indie', 'v-pop']"
1KLRO4UHKmiwS0grGzFdgT,Dế Choắt (DC),24,37908,"['vietnamese hip hop', 'v-pop', 'vietnam indie']"
6CQqST4eq5bxUONQg6orXS,Hồ Lệ Thu,29,10110,"['vietnamese bolero', 'v-pop']"
3HZZADizLAtNsAy36T8wiD,TaylorDaClownn,23,2117,"['v-pop', 'vietnamese hip hop', 'vietnam indie']"
02rLqQfWp5cmZYBShP1Fu5,Lâm Nhật Tiến,29,11737,"['vietnamese bolero', 'v-pop', 'bolero']"
36fEidShsCv1NBymBw17OB,Ái Vân,28,10928,"['vietnamese bolero', 'bolero']"
6dYm0i4voJXVX9rPx6gb2F,Don Hồ,29,11605,"['vietnamese bolero', 'bolero', 'v-pop']"
2nfy0nJ70ftD2p3WeEVrw9,Quốc Đại,25,11723,"['vietnamese bolero', 'bolero']"
4sB7Byv9cAeaPbR05YSQFR,Cẩm Vân,24,3375,"['vietnamese bolero', 'v-pop']"
1ZCY6tbHfF0X4oXZJKSXCZ,CROW ON HYENAS,23,10163,"['vietnamese hip hop', 'vietnam indie', 'v-pop']"
0HCHCbu99MF7kfRudGZceI,Dương Hồng Loan,27,38282,"['vietnamese bolero', 'bolero', 'traditional music']"
2DTVCDYfT6Uo8NugnHNRsg,Đỗ Hoàng Dương,23,10404,['v-pop']
7vCKeEqgPv1FFEM2OivtNj,Ngọc Ngữ,27,2349,"['vietnamese bolero', 'bolero']"
5jAkbuyAcJlFqLH4z88ukv,Trần Thái Hoà,28,23977,"['vietnamese bolero', 'bolero']"
41eUMVb8BInRlwH1Cx6v3N,Lương Tùng Quang,28,9697,"['vietnamese bolero', 'v-pop']"
4oFMIlXAVelFtZxOEnc9EX,Châu Ngọc Hà,27,1795,"['vietnamese bolero', 'bolero']"
6oO3gusjsenDOQn8RDr5JS,Thanh Thúy,26,18775,"['vietnamese bolero', 'bolero', 'traditional music']"
