album,album_type,album_popularity,artists,disc_number,duration_ms,explicit,id,name,popularity,track_number,release_date,genres,stream_counts
Làm Gì Phải Hốt,single,43,"['Hoàng Thùy Linh', 'JustaTee', 'Đen']",1,189296,False,34zLev2Poav7NqDi6zWTtb,Làm Gì Phải Hốt,53,1,2020-01-05,"['v-pop', 'vietnamese hip hop', 'vietnam indie', 'vietnamese lo-fi', 'vinahouse']",12449404.0
25,album,41,['Hoàng Dũng'],1,254476,False,1w3eUC89GPspKpi62tPwjt,Nàng Thơ,50,1,2020-12-16,"['vietnam indie', 'vietnamese lo-fi', 'vietnamese hip hop', 'v-pop']",36506943.0
Có Em Chờ,single,39,['MIN'],1,234000,False,6KIhgRkprgyJNERRMu7Quh,Có Em Chờ,49,1,2020-06-30,"['v-pop', 'vietnamese hip hop', 'vietnam indie', 'vietnamese lo-fi', 'vinahouse']",15251180.0
23:40,single,40,['Hào'],1,224169,False,6qyK9SquQSHvNzrGHEUYNV,23:40,50,1,2020-12-23,"['vietnam indie', 'v-pop']",8374253.0
Sinh Ra Đã Là Thứ Đối Lập Nhau (feat. Badbies),single,50,"['Emcee L (Da LAB)', 'Da LAB', 'Badbies']",1,234168,False,5BTzf3doGTigDIYUFtbkI9,Sinh Ra Đã Là Thứ Đối Lập Nhau (feat. Badbies),60,1,2020-12-29,"['v-pop', 'vietnamese hip hop', 'vietnam indie', 'vietnamese lo-fi', 'vinahouse']",48528684.0
Chúng Ta Của Hiện Tại,single,49,['Sơn Tùng M-TP'],1,301538,False,1J3SmWwlYAG68LGKr86MVH,Chúng Ta Của Hiện Tại,59,1,2020-12-20,"['vietnamese hip hop', 'v-pop', 'vinahouse']",58376821.0
Sin Miedo (del Amor y Otros Demonios) ∞,album,71,['Kali Uchis'],1,160191,False,6tDDoYIxWvMLTdKpjFkc1B,telepatía,79,7,2020-12-04,[],1344407086.0
After Hours (Deluxe),album,68,"['The Weeknd', 'Ariana Grande']",1,191013,False,1oFAF1hdPOickyHgbuRjyX,Save Your Tears (Remix) (with Ariana Grande) - Bonus Track,78,18,2020-03-20,['pop'],1779775279.0
Gác Lại Âu Lo,single,41,"['Da LAB', 'Miu Lê']",1,282628,False,1mKDbug8bbfDmLe7I4CJpe,Gác Lại Âu Lo (feat. Miu Lê),51,1,2020-07-25,"['v-pop', 'vietnamese hip hop', 'vietnam indie', 'vietnamese lo-fi', 'vinahouse']",33111919.0
Kid Krow,album,79,['Conan Gray'],1,198040,False,4xqrdfXkTW4T0RauPLv3WA,Heather,82,10,2020-03-20,[],1949340269.0
dreaAMEE,album,53,['AMEE'],1,253500,False,2SykQzXuFSeprST1uDjj1m,trời giấu trời mang đi,52,6,2020-06-20,"['vietnam indie', 'vietnamese lo-fi', 'vietnamese hip hop', 'v-pop']",18882723.0
Dù Cho Mai Về Sau (Acoustic Version),single,42,['buitruonglinh'],1,213490,False,11hcyWq7qSwBE3bvv5Ialn,Dù Cho Mai Về Sau - Acoustic Version,52,1,2020-01-12,"['vietnam indie', 'vietnamese lo-fi', 'v-pop', 'vinahouse']",18576471.0
dreaAMEE (acoustic version),album,41,"['AMEE', 'Hoàng Dũng']",1,204230,False,5zmAoCuKCbcawLtGiWF2PP,từ thích thích thành thương thương,49,5,2020-12-16,"['vietnam indie', 'vietnamese lo-fi', 'vietnamese hip hop', 'v-pop']",22951847.0
After Hours,album,83,['The Weeknd'],1,361026,False,2p8IUWQDrpjuFltbdgLOag,After Hours,78,13,2020-03-20,[],1087945334.0
Chuyện Rằng,single,42,['Thịnh Suy'],1,272152,False,7oBUoEbCDF748UkHnLusUB,Chuyện Rằng,52,1,2020-08-08,"['vietnam indie', 'vietnamese lo-fi', 'v-pop']",34709462.0
folklore,album,82,['Taylor Swift'],1,239560,False,4R2kfaDFhslZEMJqAFNpdd,cardigan,81,2,2020-07-24,[],1569354778.0
folklore,album,82,['Taylor Swift'],1,261922,False,3hUxzQpSfdDqwM3ZTFQY0K,august,80,8,2020-07-24,[],1388531792.0
Shut up My Moms Calling,single,72,['Hotel Ugly'],1,164571,False,3hxIUxnT27p5WcmjGUXNwx,Shut up My Moms Calling,82,1,2020-02-10,[],1231205597.0
Muốn Nói Với Em,single,39,"['T Team', 'DT TAP RAP']",1,233513,False,5Um995yUx3GSJ6uNOMaaP4,Muốn Nói Với Em,50,1,2020-06-06,"['v-pop', 'vietnamese hip hop', 'vietnam indie', 'vietnamese lo-fi', 'vinahouse']",18749787.0
TAKE TIME,album,72,['GIVĒON'],1,198370,False,3FAJ6O0NOHQV8Mc5Ri6ENp,Heartbreak Anniversary,77,6,2020-03-27,['r&b'],1329941717.0
BE,album,71,['BTS'],1,207481,False,5FVbvttjEvQ8r2BgUcJgNg,Life Goes On,72,1,2020-11-20,['k-pop'],778012140.0
