id,name,artists,stream_counts
4gAIUEY7VkeiKQOPwIYaYb,Lily of The Valley,['DANIEL'],53940837
7a53HqqArd4b9NF4XAmlbI,Kings & Queens,['Ava Max'],1071055861
3NxWJWftvkstyxvb1pZlFo,Teeth,['5 Seconds of Summer'],795078732
63mdJr3NMY3wReOkNE6c6W,People You Know,['Selena Gomez'],369774985
5rY7xc2h5Imj6iFn97h8Qj,勇气,['棉子'],59947990
39LLxExYz6ewLAcYrzQQyP,Levitating,['Dua Lipa'],1035610815
29TPjc8wxfz4XMn21O7VsZ,Sky,['Playboi Carti'],838612547
0pYacDCZuRhcrwGUA5nTBe,eight(Prod.&Feat. SUGA of BTS),"['IU', 'SUGA']",322324161
7mykoq6R3BArsSpNDjFQTm,I Really Want to Stay at Your House,"['Rosa Walton', 'Hallie Coggins']",280211775
7s5VQqrjBtrBgZL4pEa46S,Romantic Lover,['Eyedress'],582465704
04TshWXkhV1qkqHzf31Hn6,Lemon,['Kenshi Yonezu'],227893337
1GMufNnkKAnPLnqKJ5HHxW,Lovesick Girls,['BLACKPINK'],621191675
4pspYVQGFHLPEFgQPD1J7e,WANNABE,['ITZY'],396775008
5nujrmhLynf4yMoMtj8AQF,Levitating (feat. DaBaby),"['Dua Lipa', 'DaBaby']",2258299321
7AzlLxHn24DxjgQX73F9fU,No Idea,['Don Toliver'],1084671882
7szuecWAPwGoV1e5vGu8tl,In Your Eyes,['The Weeknd'],1007475159
3Wno87vVBVbSVS2vUUFuKC,Sweet Night,['V'],408498179
6FfLg6FFqhCsrFOaHIGkg0,Honeypie,['JAWNY'],473880778
4pvb0WLRcMtbPGmtejJJ6y,exile (feat. Bon Iver),"['Taylor Swift', 'Bon Iver']",871847308
6bnF93Rx87YqUBLSgjiMU8,Heartless,['The Weeknd'],1076985259
0sY6ZUTh4yoctD8VIXz339,champagne problems,['Taylor Swift'],715563667
4l0Mvzj72xxOpRrp6h8nHi,Lose You To Love Me,['Selena Gomez'],1316638141
5UAN29M5pGWHmD0MkzxOIM,Brahms Lullaby,['Lullaby Time'],207940188
49EywdY1mHFj27OY7U8Y2d,MAGO,['GFRIEND'],148651056
4VQH4VluDUOsOuDxccTeyN,Sanctuary,['Joji'],691787607
0f8eRy9A0n6zXpKSHSCAEp,Infrunami,['Steve Lacy'],556484229
1MgV7FIyNxIG7WzMRJV5HC,my tears ricochet,['Taylor Swift'],634997830
6pcywuOeGGWeOQzdUyti6k,Glock In My Lap,"['21 Savage', 'Metro Boomin']",780487444
1tkg4EHVoqnhR6iFEXb60y,What You Know Bout Love,['Pop Smoke'],1235227068
1J14CdDAvBTE1AJYUOwl6C,Arcade,['Duncan Laurence'],1325566100
6KfoDhO4XUWSbnyKjNp9c4,Maniac,['Conan Gray'],922852191
3PfIrDoz19wz7qK7tYeu62,Don't Start Now,['Dua Lipa'],2852997950
3xgT3xIlFGqZjYW9QlhJWp,Dancing With A Stranger (with Normani),"['Sam Smith', 'Normani']",1468073751
1lORkxEMmsCZqhoxcmk3A3,Nothing,['Bruno Major'],420964811
1daDRI9ahBonbWD8YcxOIB,Angels Like You,['Miley Cyrus'],1100047909
6qBFSepqLCuh5tehehc1bd,Like I Want You,['GIVĒON'],454198309
4nMpKHdWRRfIbg2ogJAfPi,與我無關,['阿冗'],34507301
6wfb4nI2Vih263JqC8WSoW,M.,['Anıl Emre Daldal'],190968757
58HvfVOeJY7lUuCqF0m3ly,MIDDLE OF THE NIGHT,['Elley Duhé'],1266718834
0T4AitQuq8IJhWBWuZwkFA,群青,['YOASOBI'],352866386
0FVuyC9RP5MACjp4lgU3qZ,I'm God,"['Clams Casino', 'Imogen Heap']",207390578
73SpzrcaHk0RQPFP73vqVR,No Time To Die,['Billie Eilish'],677149928
7aRmOzf96wEFudbh02cRPe,奉劝,['en'],18137667
5jAmIkIpskwu2hRz2YaEHi,嘉賓,['張遠'],77454287
4PwWESSlTwzvw9B7bmtTLS,anything,['Adrianne Lenker'],177831808
7KLd6PxR3mvR0jQd8n5Rah,善变,['王靖雯'],25971653
5rZlwNFl01HqLWBQGryKSm,Mood Swings (feat. Lil Tjay),"['Pop Smoke', 'Lil Tjay']",858069365
2WYs5LxOZfEyURXu7V0O1a,Stay With Me,['1nonly'],456177138
1BpKJw4RZxaFB88NE5uxXf,ILoveUIHateU,['Playboi Carti'],393908101
1IIKrJVP1C9N7iPtG6eOsK,Go Crazy,"['Chris Brown', 'Young Thug']",748245398
6mXdCcFnPKQznj4CmMRmHC,Mean It,"['Lauv', 'LANY']",427747900
0Aqi7ArnBrGblW5T6p2jmD,Falling,['Trevor Daniel'],1732229684
3Q4gttWQ6hxqWOa3tHoTNi,Not You Too (feat. Chris Brown),"['Drake', 'Chris Brown']",269563201
3YJJjQPAbDT7mGpX3WtQ9A,Good Days,['SZA'],1330331928
1kmmKv3L4kGmoPu8aDFOmk,Kidult,['SEVENTEEN'],72078913
7fEoXCZTZFosUFvFQg1BmW,Took Her To The O,['King Von'],624453586
727Z2S2mtNH46CbP9EWPwY,If You Love Her,['Forest Blakk'],289356911
7t3Xdbufg7q2onVsR8RBdY,Fire On Fire,['Sam Smith'],782008076
0PvFJmanyNQMseIFrU708S,For The Night (feat. Lil Baby & DaBaby),"['Pop Smoke', 'Lil Baby', 'DaBaby']",1181985371
4wVOKKEHUJxHCFFNUWDn0B,Chicago Freestyle (feat. Giveon),"['Drake', 'GIVĒON']",848921764
0HTIrbUwwFn984RzVZm5Fk,Yale,['Ken Carson'],359887575
5QseXDzPvtjdeaWNhYbm0m,Haru wo Tsugeru,['yama'],167524169
2NmsngXHeC1GQ9wWrzhOMf,illicit affairs,['Taylor Swift'],503706981
5SWnsxjhdcEDc7LJjq9UHk,Runnin,"['21 Savage', 'Metro Boomin']",790804639
1QLZKzC2pjP4ySf4ALrNhm,Christmas Without You,['Ava Max'],169530906
51Of5p3lKZeOg6itfs4og4,Lovefool,['twocolors'],386137835
40BomFCBuJok3OjxM9oG7e,Abyss,['Jin'],99000069
3jHdKaLCkuNEkWcLVmQPCX,BEST INTEREST,"['Tyler, The Creator']",686106855
15og0pCEcTFWEXOFKdcJlU,Hate Me,"['Ellie Goulding', 'Juice WRLD']",850567989
1p0rEzrK7YtdRZVtiyV7RN,Lemonade (feat. NAV),"['Internet Money', 'Gunna', 'Don Toliver', 'NAV']",1428076992
7LpMG3AEaIJgs62HQhAa91,i'm so tired...,"['Lauv', 'Troye Sivan']",921468650
4hhwyBxns9O6XIDQzL7bvF,Peaceful Sleep,['Lullaby Time'],92263823
22LAwLoDA5b4AaGSkg6bKW,Blueberry Faygo,['Lil Mosey'],1383291006
0Li1OuXXfi7950ilZUFGkF,Cardigan,['Don Toliver'],355976238
0Jlcvv8IykzHaSmj49uNW8,the 1,['Taylor Swift'],651370413
4kfjA6WfgKBt7I7YKuDCkU,Blue Jeans,['GANGGA'],285554715
4NUhcsz9E1LrBe8nXLZqzp,It Almost Worked,['TV Girl'],156590669
5meVa5klVlJalupZTvv5XX,21,['Gracie Abrams'],184416462
2297mxrYLBAC4XkhXs39If,Armed & Dangerous,['King Von'],182299327
3ruoIF2UnoXdzK8mR61ebq,Rich Nigga Shit (feat. Young Thug),"['21 Savage', 'Metro Boomin', 'Young Thug']",505781762
147gCksvDRmjG1pO51ZCcf,"Twinkle, Twinkle, Little Star",['Adelmar Borrego'],322596425
5ruzrDWcT0vuJIOMW7gMnW,The Adults Are Talking,['The Strokes'],568425350
6J2LdBN97cDWn0MLxYh9HB,July,['Noah Cyrus'],1178422592
5hM5arv9KDbCHS0k9uqwjr,Borderline,['Tame Impala'],815559727
79rfskJwK9NLN3p5cdccth,Intolewd,['Matt Maltese'],183954024
6M0EP76qW9TG4SNU0agu94,Uuuu,['Steve Lacy'],226570348
5UcVIU1tsbN7ZsOSpR8AFD,Y Que Fue?,['Don Miguelo'],84576302
5yY9lUy8nbvjM1Uyo1Uqoc,Life Is Good (feat. Drake),"['Future', 'Drake']",1303047375
7l97ElWmIdVHWUaOeeU5ZC,that way,['Tate McRae'],515894227
7ytR5pFWmSjzHJIeQkgog4,ROCKSTAR (feat. Roddy Ricch),"['DaBaby', 'Roddy Ricch']",1701400823
3OC84eKMxRJ4x0Hcwl9i4i,刻在我心底的名字 (Your Name Engraved Herein) - 電影<刻在你心底的名字>主題曲,['Crowd Lu'],92762572
2Rb6nYmuLEblpq4KIAjngL,Freak Show,"['Punkinloveee', 'H3artcrush']",183937138
3NEgsdTwk3tIjt6x4d2VzE,Rock-a-Bye Baby,['CoComelon'],89504095
4CzhtKifG867Lu5DNQVBSA,Vamp Anthem,['Playboi Carti'],343510342
6PBanBy8L1K2Ry4UN186XH,forwards beckon rebound,['Adrianne Lenker'],81081721
11hEwcy9LMEvzAlOYAFhkK,"not a lot, just forever",['Adrianne Lenker'],102550456
2SAqBLGA283SUiwJ3xOUVI,Laugh Now Cry Later (feat. Lil Durk),"['Drake', 'Lil Durk']",1025160813
2U5WueTLIK5WJLD7mvDODv,Wishing Well,['Juice WRLD'],999774835
3FUqp10RhCmMjyyB9extmo,花に亡霊,['ヨルシカ'],100064213
21CkzgKCBCq5V4XKjiGSIj,Stay High,['Juice WRLD'],365468124
1jaTQ3nqY3oAAYyCTbIvnM,WHATS POPPIN,['Jack Harlow'],872045927
6Kj17Afjo1OKJYpf5VzCeo,Pain 1993 (with Playboi Carti),"['Drake', 'Playboi Carti']",351264055
1i8dJGpKO0xQiKGCVslJqB,half return,['Adrianne Lenker'],75310946
1nYzjrdVQ8RpF93M0jPFW7,Remember That Night?,['Sara Kays'],408442164
2WxUIiq06XXPYWl9YcRJnD,Our Time,['Lil Tecca'],387743506
3cWmqvMwVQKDigWLSZ3w9h,Rockstar Made,['Playboi Carti'],168964014
4U0bL1ouvksMgvXU2aKq4O,间距,['en'],39039316
6cx06DFPPHchuUAcTxznu9,Head & Heart (feat. MNEK),"['Joel Corry', 'MNEK']",1280092053
3IJYUaN3tx04S4TYyZHKoP,Party Girl,['StaySolidRocky'],822963218
1pCcNaCodPssCc8Aq68gPS,Kaiju no Hanauta,['Vaundy'],254612025
56oGoEjA9eTZYgsttEFKY3,The Thrill,"['Wiz Khalifa', 'Empire Of The Sun']",455276480
0E4Y1XIbs8GrAT1YqVy6dq,Afterglow,['Ed Sheeran'],486606161
4YwIOEhqg57IX2QasbetBi,It's Ok If You Forget Me,['Astrid S'],158897700
5H4mXWKcicuLKDn4Jy0sK7,Time Flies,['Drake'],350999016
4rPkN1FMzQyFNP9cLUGIIB,Love Again,['Dua Lipa'],736829003
3AzjcOeAmA57TIOr9zF1ZW,Physical,['Dua Lipa'],1064799570
4sjYK1CGjM95Y72qIJJQ8t,528 Hz Dreamscape for Positive Transformation,"['Miracle Tones', 'Solfeggio Healing Frequencies MT']",80143445
1kKYjjfNYxE0YYgLa7vgVY,Higher Love,"['Kygo', 'Whitney Houston']",1047072016
4jVBIpuOiMj1crqd8LoCrJ,FRANCHISE (feat. Young Thug & M.I.A.),"['Travis Scott', 'Young Thug', 'M.I.A.']",313701283
2Y0wPrPQBrGhoLn14xRYCG,Come & Go (with Marshmello),"['Juice WRLD', 'Marshmello']",1034855389
527k23H0A4Q0UJN3vGs0Da,After Party,['Don Toliver'],766290138
172fMG26G2OoEzzg0wn26r,白日,['King Gnu'],215492836
30QR0ndUdiiMQMA9g1PGCm,"...And to Those I Love, Thanks for Sticking Around",['$uicideboy$'],762567021
5TXQCMKN6TgemTL3c4wRTn,Sorrows,['Bryson Tiller'],257811811
5PvVkf1Yuq3XyMqqjPiKPd,Been Away,['Brent Faiyaz'],335149988
4YaKlkNVJNbrIqN82EKFsQ,A thought on an autumn night,['JANNABI'],14707045
6MWoRt97mnSTXZhu3ggi9C,hoax,['Taylor Swift'],211916798
0mO6oS60RST2sWmN2FKknP,One More Hour,['Tame Impala'],209245237
0pJW1Xw3aY4Eh6k5iuBkfI,I Know The End,['Phoebe Bridgers'],195883324
4TBHfv2isYco3fNKjQ8oSI,NAN CHUN,['SE SO NEON'],19139112
5Ryu0SlsYjKh78RkJUONFr,Flex Up (feat. Future & Playboi Carti),"['Lil Yachty', 'Future', 'Playboi Carti']",166357050
6IjINOLuPnJFOKBXt0XzC8,Tokyo Flash,['Vaundy'],93313397
0bkTdkWwGk3OGFX0afD3Wj,Mystery Lady,"['Masego', 'Don Toliver']",246064584
4xqIYGwwZTEem9U8A42SPF,Broke In A Minute,['Tory Lanez'],462805451
2J6OF7CkpdQGSfm1wdclqn,Clouded,['Brent Faiyaz'],668151254
4R5GN0mBvb6jkRj3Zvyhkl,Will I See You Again?,['Thee Sacred Souls'],81514823
47EiUVwUp4C9fGccaPuUCS,DÁKITI,"['Bad Bunny', 'JHAYCO']",2146353999
6f3Slt0GbA2bPZlz0aIFXN,The Business,['Tiësto'],1270190158
6GKGoi0FHzldk1ZRQoV1fv,Jalebi Baby,['Tesher'],182849619
1Z0cZI0UzNbP9L8MzzGxqf,Walk Em Down (feat. Roddy Ricch),"['NLE Choppa', 'Roddy Ricch']",616554380
6IO5nn84TKArsi3cjpIqaD,Mela!,['Ryokuoushoku Shakai'],143199818
630DpnzdfjdVqv2yLfPbAX,Bertaut,['Nadin Amizah'],448771155
4S2uhQE8L9V6p7rj7SiauJ,Suicidal (feat. Juice WRLD) - Remix,"['YNW Melly', 'Juice WRLD']",453283043
4daA20tBusVX29bUWgd8Dw,交換餘生,['JJ Lin'],25325149
13sOb9V6Y3uCnRxY9HIZqP,if u could see me cryin' in my room,"['Arash Buana', 'raissa anggiani']",233768014
2SWbnWSe1onmbllRAU46uo,PERSIAN RUGS,['PARTYNEXTDOOR'],151620752
