album,album_type,album_popularity,artists,available_markets,disc_number,duration_ms,explicit,id,is_local,is_playable,name,popularity,track_number,type,release_date,genres
Làm Gì Phải Hốt,single,43,"['Hoàng Thùy Linh', 'JustaTee', 'Đen']",184,1,189296,False,34zLev2Poav7NqDi6zWTtb,False,True,Làm Gì Phải Hốt,53,1,track,2020-01-05,"['v-pop', 'vietnamese hip hop', 'vietnam indie', 'vietnamese lo-fi', 'vinahouse']"
25,album,41,['Hoàng Dũng'],185,1,254476,False,1w3eUC89GPspKpi62tPwjt,False,True,Nàng Thơ,50,1,track,2020-12-16,"['vietnam indie', 'vietnamese lo-fi', 'vietnamese hip hop', 'v-pop']"
Có Em Chờ,single,39,['MIN'],184,1,234000,False,6KIhgRkprgyJNERRMu7Quh,False,True,Có Em Chờ,49,1,track,2020-06-30,"['v-pop', 'vietnamese hip hop', 'vietnam indie', 'vietnamese lo-fi', 'vinahouse']"
23:40,single,40,['Hào'],185,1,224169,False,6qyK9SquQSHvNzrGHEUYNV,False,True,23:40,50,1,track,2020-12-23,"['vietnam indie', 'v-pop']"
Sinh Ra Đã Là Thứ Đối Lập Nhau (feat. Badbies),single,50,"['Emcee L (Da LAB)', 'Da LAB', 'Badbies']",185,1,234168,False,5BTzf3doGTigDIYUFtbkI9,False,True,Sinh Ra Đã Là Thứ Đối Lập Nhau (feat. Badbies),60,1,track,2020-12-29,"['v-pop', 'vietnamese hip hop', 'vietnam indie', 'vietnamese lo-fi', 'vinahouse']"
Chúng Ta Của Hiện Tại,single,49,['Sơn Tùng M-TP'],183,1,301538,False,1J3SmWwlYAG68LGKr86MVH,False,True,Chúng Ta Của Hiện Tại,59,1,track,2020-12-20,"['vietnamese hip hop', 'v-pop', 'vinahouse']"
Sin Miedo (del Amor y Otros Demonios) ∞,album,71,['Kali Uchis'],184,1,160191,False,6tDDoYIxWvMLTdKpjFkc1B,False,True,telepatía,79,7,track,2020-12-04,[]
After Hours (Deluxe),album,68,"['The Weeknd', 'Ariana Grande']",183,1,191013,False,1oFAF1hdPOickyHgbuRjyX,False,True,Save Your Tears (Remix) (with Ariana Grande) - Bonus Track,78,18,track,2020-03-20,['pop']
Gác Lại Âu Lo,single,41,"['Da LAB', 'Miu Lê']",185,1,282628,False,1mKDbug8bbfDmLe7I4CJpe,False,True,Gác Lại Âu Lo (feat. Miu Lê),51,1,track,2020-07-25,"['v-pop', 'vietnamese hip hop', 'vietnam indie', 'vietnamese lo-fi', 'vinahouse']"
Kid Krow,album,79,['Conan Gray'],179,1,198040,False,4xqrdfXkTW4T0RauPLv3WA,False,True,Heather,82,10,track,2020-03-20,[]
