album,album_type,album_popularity,artists,available_markets,disc_number,duration_ms,explicit,id,is_local,is_playable,name,popularity,track_number,type,release_date,genres
Kim Cheolsu Story,single,37,['Heo Hoy Kyung'],185,1,248433,False,48mBeNB9eRSxbPn9bDIcyn,False,True,Kim Cheolsu Story,47,1,track,2021-10-14,['k-ballad']
If Orange Was A Place,single,61,['Tems'],185,1,179999,False,2dFqK2ZkYB9Xc47gr3xXWl,False,True,Replay,70,3,track,2021-09-14,"['afrobeats', 'afrobeat', 'alté', 'afropop']"
Slime Language 2,album,66,"['Young Stoner Life', 'Young Thug', 'Gunna', 'Drake']",185,1,215693,True,6rTInqW3YECMkQsBEHw4sd,False,True,Solid (feat. Drake),64,4,track,2021-04-16,"['trap', 'rap', 'melodic rap', 'hip hop']"
Intimidated,single,58,"['KAYTRANADA', 'H.E.R.']",184,1,207840,False,0dFdGPVLs3k0z9ezYWZzUa,False,True,Intimidated (feat. H.E.R.),68,1,track,2021-11-19,['r&b']
Found (feat. Brent Faiyaz),single,54,"['Tems', 'Brent Faiyaz']",185,1,209454,False,0GGfGINoVYiSFXPOjg3RHj,False,True,Found (feat. Brent Faiyaz),64,1,track,2021-09-09,"['afrobeats', 'r&b', 'afrobeat', 'alté', 'afropop']"
Baby Sleep Noise,album,44,['Exodar'],185,1,128750,False,5GQqp24qVLaCWzxa6de1AE,False,True,Baby Sleep Noise 5,53,5,track,2021-02-24,[]
White Altitude,single,55,['Sky Travis'],185,1,173933,False,22jTdzsf7YHTnBja5IMwD0,False,True,White Altitude,65,1,track,2021-09-16,[]
Actual Life (April 14 - December 17 2020),album,65,"['Fred again..', 'The Blessed Madonna']",185,2,285375,False,5Z8Dj3LtbyCMiwE86rhg2f,False,True,Marea (we’ve lost dancing),69,1,track,2021-04-15,"['house', 'stutter house']"
Jakarta Hari Ini,single,58,"['For Revenge', 'Stereo Wall']",185,1,224210,False,5hkQFKFRrr5gKdbbxsg6Lj,False,True,Jakarta Hari Ini,68,1,track,2021-02-28,"['pop punk', 'indonesian pop', 'indonesian indie', 'indorock']"
Envolver,single,57,['Anitta'],184,1,193805,False,3IAfUEeaXRX9s9UdKOJrFI,False,True,Envolver,67,1,track,2021-11-11,"['funk carioca', 'pagode baiano', 'brazilian pop', 'funk', 'funk pop']"
Tiroteo (Remix),single,69,"['Marc Seguí', 'Rauw Alejandro', 'Pol Granch']",185,1,321555,False,4OwhwvKESFtuu06dTgct7i,False,True,Tiroteo - Remix,79,1,track,2021-04-01,"['urbano latino', 'latin', 'reggaeton', 'trap latino']"
Патрон,single,51,['Miyagi & Andy Panda'],185,1,225000,False,3uCth4TIWyeQDnj3YbAVQB,False,True,Патрон,61,1,track,2021-04-02,[]
Constellations,single,60,['Jade LeMac'],184,1,200321,False,32ShlHZGBYLoybP9pdb87z,False,True,Constellations,71,1,track,2021-08-11,[]
告白,single,46,['MY FIRST STORY'],185,1,249480,False,6c5GqVWU3yFDgPkgBB0MGg,False,True,I'm a mess,55,2,track,2021-07-14,"['j-pop', 'j-rock', 'anime']"
Softic,album,51,['Soft Blade'],183,1,244000,False,0CRZ3cFFZEUglP5RlU2f9o,False,True,Yugoslavskiy Groove,60,3,track,2021-08-06,"['witch house', 'lo-fi house']"
Mon Amour (Remix),single,63,"['zzoilo', 'Aitana']",184,1,179940,False,5TMLavqGRKNxgzMBrVpC9R,False,True,Mon Amour - Remix,73,1,track,2021-08-18,['latin pop']
Guayar Pegao,compilation,44,['Don Omar'],95,1,206986,False,3rNe2VTczeYzTi6BT3dwKT,False,True,Dile,50,2,track,2021-08-05,"['urbano latino', 'reggaeton']"
Yonaguni,single,64,['Bad Bunny'],185,1,206710,True,2JPLbjOn0wPCngEot2STUS,False,True,Yonaguni,74,1,track,2021-06-04,"['urbano latino', 'latin', 'reggaeton', 'trap latino']"
мои (твои) тёмные желания,album,59,['ooes'],185,1,137739,False,0K5arhAxYWj7QxFhpKJe6z,False,True,последнее лето,59,2,track,2021-06-25,[]
開幕宣言,album,55,['Novelbright'],184,1,312053,False,6sElEqOIGENWjpxGFeo5ct,False,True,ツキミソウ,61,5,track,2021-04-26,"['j-pop', 'j-rock']"
SiX,album,57,['Da-iCE'],185,1,248653,False,2IL2asrtx7XM1y8fu2RMnR,False,True,CITRUS,64,10,track,2021-01-20,"['j-pop', 'anime']"
VICE VERSA,album,78,['Rauw Alejandro'],185,1,199604,True,3rdAz1fbUfZxYgaCviYhRo,False,True,Todo De Ti,77,1,track,2021-12-10,"['urbano latino', 'latin', 'reggaeton', 'trap latino']"
Morenita,single,56,"['HUGEL', 'Cumbiafrica']",185,1,176491,False,0pIiCv0GdhtsOjCJ5Y7zHj,False,True,Morenita,66,1,track,2021-06-25,"['latin house', 'tech house', 'afro house', 'tribal house']"
Confession,single,56,['Babyboy AV'],185,1,188629,False,7IAzRTQQz6Aoywj0R1Qce5,False,True,Confession,66,1,track,2021-10-22,"['afrobeats', 'afrobeat', 'afropop', 'afroswing']"
Sailing Soul(s),album,67,['Jhené Aiko'],184,1,262480,True,4Li8dc3ucCesQJMKErU5zM,False,True,living room flow - Bonus,62,12,track,2021-03-19,['r&b']
Buy Dirt,album,67,"['Jordan Davis', 'Luke Bryan']",184,1,167480,False,69AIpwGNLxr4qS1X5ynx60,False,True,Buy Dirt,75,2,track,2021-05-21,"['acoustic country', 'country']"
C.H.R.I.S.Y.E.,single,51,"['Diskoria', 'Laleilmanino', 'Eva Celia']",185,1,310812,False,42si4ikg5dh732gPuQ0xHb,False,True,C.H.R.I.S.Y.E.,61,1,track,2021-01-15,"['city pop', 'indonesian pop', 'indonesian indie']"
Life Goes On,album,56,['HIRAIDAI'],185,1,193012,False,7DyS11kB1YNrfDzQqtjmTh,False,True,"Stand by me, Stand by you.",61,8,track,2021-02-10,['j-pop']
Dangerous: The Double Album,album,80,['Morgan Wallen'],184,1,210506,False,4obHzpwGrjoTuZh2DItEMZ,False,True,7 Summers,74,14,track,2021-01-08,['country']
Cintanya Aku,single,56,"['Tiara Andini', 'Arsy Widianto']",184,1,234125,False,53fKDMfQhWMSw7QKVDOTBP,False,True,Cintanya Aku,66,1,track,2021-01-22,"['indonesian pop', 'malay']"
Episode,album,62,['Zack Tabudlo'],184,1,244067,False,63bmIgH9sS6sX5Sc7MetGq,False,True,Habang Buhay,60,8,track,2021-10-15,"['p-pop', 'pinoy indie', 'kundiman', 'opm', 'harana', 'pinoy r&b']"
мои (твои) тёмные желания,album,59,['ooes'],185,1,148000,False,0cOftxEWGyu4XAqEsqmdWS,False,True,зима,56,5,track,2021-06-25,[]
Pilot,album,56,['The Lantis'],184,1,298000,False,6E7DsxwI4eOcMHLYRUDCaw,False,True,Lampu Merah,66,8,track,2021-10-01,"['indonesian pop', 'indonesian indie', 'malay']"
愛情你比我想的閣較偉大 (《當男人戀愛時》電影主題曲),single,43,['EggPlantEgg'],184,1,232400,False,6m2I6ZyWRkxjBrrLVQILfl,False,True,愛情你比我想的閣較偉大 (《當男人戀愛時》電影主題曲),53,1,track,2021-03-15,"['taiwanese indie', 'c-pop', 'taiwanese pop', 'mandopop', 'chinese indie', 'chinese rock']"
We're All Alone In This Together,album,66,"['Dave', 'Stormzy']",184,1,251733,True,2zxEc1GCSCxbHIXTfhraRC,False,True,Clash (feat. Stormzy),63,3,track,2021-07-22,"['uk drill', 'drill', 'grime']"
Welcome to the Kicako House,single,38,"['PATEKO', 'Jayci yucca', 'Kid Wine']",185,1,195375,False,4QL7JQXCrWoCGsRKnGkga1,False,True,Think About You,46,2,track,2021-07-25,"['k-ballad', 'k-rap']"
Slime Language 2,album,66,"['Young Stoner Life', 'Young Thug', 'Gunna']",185,1,152333,True,6755DFiZ7CWe2WMdTGW5C1,False,True,Ski,63,2,track,2021-04-16,"['trap', 'rap', 'melodic rap']"
"One, two (Feat. Punch)",single,31,"['Kim Seungmin', 'Punch']",184,1,200146,False,7Ict85eqFVFqUp6ogAjaV1,False,True,"One, Two (Feat. Punch)",41,1,track,2021-06-06,"['k-rap', 'k-ballad', 'soundtrack', 'k-pop']"
Sebuah Cerita,album,61,['Mahen'],185,1,246964,False,48x5fpsRMinILFWmbidU10,False,True,Pura Pura Lupa,68,1,track,2021-05-28,['indonesian pop']
Tutur Batin,album,62,['Yura Yunita'],185,1,215591,False,1k1e4Amkn7hIFrEthtazqT,False,True,Tutur Batin,67,7,track,2021-10-22,"['indonesian pop', 'indonesian indie']"
Young Lady And Gentleman (Original Television Soundtrack) Pt.2,single,41,['Lim Young Woong'],184,1,242760,False,4rMEoXVYww6Xy7q9wSj4gy,False,True,Love Always Run Away,51,1,track,2021-10-11,['k-ballad']
Tiara Andini,album,67,['Tiara Andini'],184,1,220250,False,3Ysf0Y3iu23mrDsVh1mdu0,False,True,Merasa Indah,67,4,track,2021-12-17,"['indonesian pop', 'malay']"
If you lovingly call my name (GyeongseoYeji x Jeon Gunho),single,35,"['GyeongseoYeji', 'Jeon Gunho']",184,1,231338,False,0tgxvf4rqBBeEB54h0nnRD,False,True,If you lovingly call my name,45,1,track,2021-05-19,['k-ballad']
Moon Boy,album,58,"['Yung Bleu', 'Drake']",185,1,226220,True,6tiKwZppNjrls8RsPQwK6r,False,True,You're Mines Still (feat. Drake),65,9,track,2021-07-23,"['rap', 'hip hop']"
This Is What It Feels Like,single,69,['Gracie Abrams'],184,1,125452,False,2DWuT8Xe7IeZK6feMqH7it,False,True,Painkillers,53,11,track,2021-11-12,[]
Bagaimana Kalau Aku Tidak Baik Baik Saja,single,59,['Judika'],185,1,231639,False,7d0k5WtISq16iBlNOPjhne,False,True,Bagaimana Kalau Aku Tidak Baik Baik Saja,69,1,track,2021-07-31,"['malay pop', 'indonesian pop', 'malay']"
Fallen,single,59,['Lola Amour'],185,1,201806,False,4mc3rUoMwwiNTHA4al9nNd,False,True,Fallen,69,1,track,2021-06-25,"['p-pop', 'pinoy indie', 'opm', 'harana', 'kundiman']"
Gatluak (Bakermat Remix),single,57,"['Kronan', 'Nyaruach', 'Bakermat']",185,1,139383,False,0GT2hQQ6mdHeW0AZDl5NlJ,False,True,Gatluak - Bakermat Remix,67,1,track,2021-07-23,['tropical house']
Now I Know,single,53,['Kaleb J'],185,1,258049,False,6HGcSuP89aoRvqLIAjcT8B,False,True,Now I Know,63,1,track,2021-03-19,['indonesian pop']
New Century Masterpiece Cinema,album,37,['Nerd Connection'],184,1,189000,False,2i3HoDE1ZvQ2bh2ZmgpSug,False,True,Silently Completely Eternally,45,12,track,2021-10-27,"['k-ballad', 'k-rock']"
PROTOTYPE RESEARCH #0063,single,35,['Kim Seungmin'],184,1,181800,False,7DwLpBaYzlV4EQaNMzm9Bs,False,True,My pleasure Is That You Ride The Bentley,42,12,track,2021-10-19,"['k-rap', 'k-ballad']"
Pagsamo,single,61,['Arthur Nery'],185,1,297001,False,0WZqHCoOBXqgCCIsUZLC2a,False,True,Pagsamo,72,1,track,2021-10-01,"['p-pop', 'pinoy indie', 'kundiman', 'opm', 'harana', 'pinoy r&b']"
Still Sleepless,single,60,"['D.O.D', 'Carla Monroe']",185,1,162879,False,4vyG9ZhHT8MKJE5mTICMFC,False,True,Still Sleepless,70,1,track,2021-09-17,"['piano house', 'electro house']"
Rupture 2 merde,single,55,['Therapie TAXI'],185,1,192613,False,1p9dxTMtG4gZpLp7yzvT54,False,True,Eté 90,63,4,track,2021-01-08,"['variété française', 'chanson', 'french pop', 'french house']"
너의 로맨스에 내 이름을 써줘,single,33,['104'],185,1,228577,False,0xqISi4w8BriYg33tK8aJF,False,True,너의 로맨스에 내 이름을 써줘 (prod. IVY GROUND),43,1,track,2021-07-28,['k-ballad']
Gusto With Ya,single,49,['DENȲ'],185,1,162000,False,0hr2Itwh84Zn3PiRRjHTnw,False,True,Gusto With Ya,59,1,track,2021-03-12,"['opm', 'p-pop', 'pinoy hip hop', 'pinoy r&b']"
Sheets of White Noise,single,51,['Day Nappers'],185,1,179691,False,6sEeaMuuF5xx6xHGMUWdot,False,True,White Noise Lullaby,62,2,track,2021-08-11,[]
Fiori Notturni,single,50,['Passeggiate Al Chiaro'],185,1,120979,False,47MRiOYDPxibheDghy2Hum,False,True,Ipnotizzato Dal Rumore Bianco,60,2,track,2021-11-09,[]
FINAL (Vol.1),album,60,"['Enrique Iglesias', 'Wisin']",185,1,199693,False,5adqS3stLaSPAEOszOnpXG,False,True,DUELE EL CORAZON,63,8,track,2021-09-17,"['latin', 'latin pop', 'reggaeton']"
Вороны,single,47,['Xcho'],185,1,156818,False,1eQc0azOMOv6VuqQi9c2Ba,False,True,Вороны,57,1,track,2021-10-01,[]
"Ranjha (From ""Shershaah"")",single,61,"['Jasleen Royal', 'B Praak', 'Romy']",185,1,228855,False,72zHuDxFQTjbL51qJQSA7j,False,True,"Ranjha (From ""Shershaah"")",71,1,track,2021-08-05,"['hindi pop', 'hindi indie', 'sufi', 'gujarati pop', 'punjabi pop', 'desi pop', 'bollywood', 'desi']"
FUTURA,album,50,"['Miksu / Macloud', 'Nimo', 'Jamule']",185,1,157253,True,1eiQc3mTqBmqHjUR3uDj5F,False,True,Frag mich nicht,54,9,track,2021-04-23,['german hip hop']
Hingga Tua Bersama,single,55,['Rizky Febian'],185,1,270926,False,5b0NpyYAwW2dUGL08ir7Bg,False,True,Hingga Tua Bersama,65,1,track,2021-05-12,"['indonesian pop', 'malay']"
Akhir Tak Bahagia,single,53,['Misellia'],185,1,185653,False,0BYoWATcndOBcsCfKdTKRx,False,True,Akhir Tak Bahagia,63,1,track,2021-03-12,['indonesian pop']
VICE VERSA,album,78,"['Rauw Alejandro', 'Chencho Corleone']",185,1,224996,True,6mmPpaltUZK7xjNlBPQQ0p,False,True,Desesperados,76,4,track,2021-12-10,"['urbano latino', 'latin', 'reggaeton', 'trap latino']"
Run Away to Mars,single,49,['TALK'],183,1,213753,False,6G1Mz5yMgn0ydOlIvTrZ65,False,True,Run Away to Mars,59,1,track,2021-06-23,[]
Promethazine,single,52,"['Saran', 'BlackHeart', 'Pondering']",185,1,182453,False,25n8diXqpb6LKyL0Dwzwoy,False,True,Promethazine,62,1,track,2021-08-03,"['thai hip hop', 'thai trap', 'thai pop', 't-pop', 'southern thai music']"
Forever (Remix),single,48,"['Gyakie', 'Omah Lay']",185,1,201600,False,4vLY6fJQWgBzQYHzguDZme,False,True,Forever (Remix),58,1,track,2021-03-18,"['afrobeats', 'hiplife', 'afroswing', 'afrobeat', 'alté', 'asakaa', 'afro soul', 'afropop']"
RY RY WORLD,album,64,"['Mariah the Scientist', 'Lil Baby']",185,1,197040,True,6dbENHQHHtWRai4snSvy2w,False,True,Always n Forever (feat. Lil Baby),65,8,track,2021-07-09,['alternative r&b']
อะไรฉันก็ยอม,single,49,"['Saran', 'Pondering', 'WHALJAY', 'SLOWVXNZ']",185,1,287753,False,1Uirva9dJEp3Ctq3p6ejFQ,False,True,อะไรฉันก็ยอม,59,1,track,2021-07-15,"['thai hip hop', 'thai trap', 'thai pop', 't-pop', 'southern thai music']"
LV N ATTN,single,49,"['Lojay', 'Sarz']",185,1,213991,False,1zwZ26A7OA5wTrA3FejCLL,False,True,Monalisa,57,5,track,2021-06-04,"['afrobeats', 'amapiano', 'afrobeat', 'alté', 'afropop']"
Believe For It,album,57,['CeCe Winans'],182,1,297693,False,59uuKDpLFhHtCWwMudospF,False,True,Goodness Of God - Live,61,12,track,2021-03-12,"['gospel', 'christian', 'worship']"
Endless Praise,album,63,"['Charity Gayle', 'Steven Musso']",185,1,469480,False,6ih83nInlD4raXBDaHmu9d,False,True,I Speak Jesus,64,5,track,2021-09-10,"['christian', 'pentecostal', 'worship']"
Premier Gaou (Nitefreak Remix),single,54,"['Francis Mercier', 'Magic System', 'Nitefreak']",185,1,222295,False,57e5ib2PnvuiaTvaI4jGDp,False,True,Premier Gaou - Nitefreak Remix,64,1,track,2021-11-05,"['latin house', 'afro house', 'melodic house', 'house', 'tribal house']"
Контракт,single,49,['Poshlaya Molly'],185,1,204756,False,2bqS0QtnXGjOYs3z6VtSyW,False,True,Контракт,59,1,track,2021-03-12,[]
Endless Praise,album,63,['Charity Gayle'],185,1,332200,False,60sFQOzyCYMNkVs0CPBnxy,False,True,Thank You Jesus for the Blood,65,3,track,2021-09-10,"['christian', 'pentecostal', 'worship']"
Angin Kencang,album,55,['Noh Salleh'],185,1,237243,False,2GWzRdezjEFyYrwldE7iCl,False,True,Angin Kencang,63,2,track,2021-01-01,"['malay pop', 'indonesian indie', 'malaysian pop', 'malay']"
Fleur froide (Donum Novae),album,55,['Tayc'],185,1,197240,False,6yIh43XrY4Mc5xOxeagVhp,False,True,Le temps,65,2,track,2021-02-26,"['afrobeats', 'afrobeat', 'pop urbaine', 'zouk']"
Fleur froide - Second état : la cristallisation,album,61,['Tayc'],185,1,179240,False,2dJMDzMF5jMvVFKLTci81H,False,True,D O D O,63,9,track,2021-11-19,"['afrobeats', 'afrobeat', 'pop urbaine', 'zouk']"
RAYA,single,49,"[""MALIQ & D'Essentials""]",185,1,269300,False,6cMVQgMRy4pMpSEyg2xd5z,False,True,Semoga,58,5,track,2021-02-14,"['indonesian pop', 'indonesian indie']"
Tutur Batin,album,62,['Yura Yunita'],185,1,218735,False,0mMqopQJOWADJSPRMYkvTF,False,True,Dunia Tipu-Tipu,65,1,track,2021-10-22,"['indonesian pop', 'indonesian indie']"
One Eighty,single,50,['Ashley Kutcher'],184,1,204000,False,4bpyaPa1xruVgE2GtsYbIW,False,True,Love You From a Distance,59,3,track,2021-11-19,[]
мои (твои) тёмные желания,album,59,['ooes'],185,1,149333,False,0Mfjy6p9vZsfzbQReWdooZ,False,True,ночь,55,6,track,2021-06-25,[]
閣愛妳一擺,single,45,['EggPlantEgg'],184,1,278010,False,4Zwn8WxD61diTwqv9hyTQA,False,True,閣愛妳一擺,55,1,track,2021-12-10,"['taiwanese indie', 'c-pop', 'taiwanese pop', 'mandopop', 'chinese indie', 'chinese rock']"
Old Church Basement,album,62,"['Elevation Worship', 'Maverick City Music', 'Chandler Moore', 'Naomi Raine']",185,1,598994,False,1goiRWxiG3GTlODrdDZ7NR,False,True,Jireh (feat. Chandler Moore & Naomi Raine),65,2,track,2021-04-30,"['christian', 'gospel', 'worship', 'ccm']"
Baby Riddim,single,51,['FAVE'],185,1,190677,False,77eZIuMTB9HrQ86L4ljqEX,False,True,Baby Riddim,61,1,track,2021-09-30,"['afrobeats', 'afrobeat', 'alté', 'afro soul', 'afropop']"
MAS|S|TERPIECE,album,51,"['ZENTYARB', 'PUNYARB', 'LAZYLOXY']",185,1,244736,False,2MnVrkbwL6ViB7q4NI7oVK,False,True,ฉบับปรับปรุง,56,7,track,2021-12-28,"['thai pop', 'thai hip hop', 'thai trap', 't-pop']"
The Age Of Love (Charlotte de Witte & Enrico Sangiuliano Remix) [Charlotte de Witte & Enrico Sangiuliano Remix - Edit],single,52,"['Age Of Love', 'Charlotte de Witte', 'Enrico Sangiuliano']",185,1,489480,False,6R84ZlQF7gGkPB6o3GLZXB,False,True,The Age Of Love (Charlotte de Witte & Enrico Sangiuliano Remix),61,2,track,2021-08-01,"['tekno', 'hard techno', 'minimal techno', 'techno', 'acid techno']"
We're All Alone In This Together,album,66,['Dave'],184,1,182285,True,7IPKXYU2rTMnrLW5IZ7ZI5,False,True,Verdansk,63,2,track,2021-07-22,"['uk drill', 'drill', 'grime']"
We're All Alone In This Together,album,66,"['Dave', 'Snoh Aalegra']",184,1,181676,True,25tXNghelZKdGZZVoSL9Yg,False,True,Law Of Attraction (feat. Snoh Aalegra),61,8,track,2021-07-22,"['grime', 'neo soul', 'alternative r&b', 'uk drill', 'drill']"
แอบหวัง,single,48,['Anatomy Rabbit'],176,1,235058,False,3qMYr2bVu2HpSKrSJ2zj8K,False,True,แอบหวัง,59,1,track,2021-01-07,"['thai indie pop', 'thai pop', 't-pop']"
Dangerous: The Double Album,album,80,['Morgan Wallen'],184,1,216573,False,5OELUCYgOHKFAvCERnAvfS,False,True,More Than My Hometown,75,15,track,2021-01-08,['country']
Terlukis Indah,single,52,"['Rizky Febian', 'Ziva Magnolya']",184,1,227595,False,5S8TtEVuFPY9XEjg2hNWHa,False,True,Terlukis Indah,62,1,track,2021-07-09,"['indonesian pop', 'malay']"
Sayin’ What I’m Thinkin’,album,63,['Lainey Wilson'],185,1,203373,False,3S0sk6DSTgesXsUSAEHNr5,False,True,Things A Man Oughta Know,68,3,track,2021-02-19,['country']
SoulFly,album,66,['Rod Wave'],185,1,252021,True,5iMRhOHzze2CujxHiJ6cRL,False,True,Street Runner,68,8,track,2021-03-26,[]
Down Under (feat. Colin Hay),single,49,"['Luude', 'Colin Hay']",175,1,158774,False,7AVyve7cFYTd51ha5i9kE2,False,True,Down Under (feat. Colin Hay),60,1,track,2021-11-19,['drum and bass']
Pass by,single,32,['Nilo'],185,1,281182,False,7CEp2jyohd05jqAiWafcOK,False,True,Pass by,43,1,track,2021-04-01,['k-ballad']
Long Term Effects of SUFFERING,album,67,['$uicideboy$'],185,1,140858,True,19n8izXThARSuQAXrOKNbO,False,True,Avalon,69,10,track,2021-08-13,"['horrorcore', 'dark trap', 'punk rap', 'cloud rap', 'emo rap', 'underground hip hop']"
Turma no Quintal (Ao Vivo),album,55,"['Turma do Pagode', 'Grupo Menos É Mais']",185,1,216818,False,1N19UVD4GRBFT6UrDaX6rk,False,True,Bebe e Vem Me Procurar / Quem Ama Sente Saudade (Ao Vivo),65,6,track,2021-05-21,"['samba', 'pagode']"
Better Days,single,48,['Dermot Kennedy'],184,1,198221,False,48USW4aYqrylYWJmFPbC8A,False,True,Better Days,57,1,track,2021-10-22,[]
Nocturnal Cozy Rain,single,58,['Drip-Drop'],185,1,160000,False,7yfJG16maztJXFzCQ3RJEa,False,True,Cozy Calming Nocturnal Rain,59,4,track,2021-06-25,[]
Selamat Datang di Ujung Dunia,album,58,['Lomba Sihir'],185,1,188559,False,5431aNwjj7msmgVrCwgEcq,False,True,Mungkin Takut Perubahan,60,7,track,2021-03-26,['indonesian indie']
คำถาม,single,44,['PUNYARB'],185,1,206360,False,15Xn4r9FY3725iHIfyq5hE,False,True,คำถาม,54,1,track,2021-07-07,"['thai pop', 'thai hip hop', 't-pop', 'thai trap']"
Dudy Oris X Krishna Balagita,single,52,"['Dudy Oris', 'Krishna Balagita']",185,1,218856,False,3vL1XiH3NywbIFaq8w3rJG,False,True,Laksana Surgaku,62,1,track,2021-04-05,['indonesian pop']
Sleep Sounds,single,46,['Suburban DZ'],185,1,220000,False,4H8xQ7eeZ79T1WFhruPzR6,False,True,Ambient Noise 100 Hz,56,1,track,2021-10-06,[]
Seventeen Going Under (Deluxe),album,62,['Sam Fender'],184,1,297933,True,5rF6YUIlgiat22OT1lWspJ,False,True,Seventeen Going Under,67,1,track,2021-10-08,[]
Ligaya,single,53,['mrld'],185,1,248800,False,4IeuTj1pEHuL9vJSiEqEfR,False,True,Ligaya,63,1,track,2021-10-06,"['opm', 'p-pop', 'harana', 'kundiman']"
Surrender,album,62,['RÜFÜS DU SOL'],185,1,261001,False,2ouFrmMwYik8nQX2n9SeZu,False,True,On My Knees,67,7,track,2021-10-21,[]
Cassette,album,54,['SadSvit'],185,1,144235,False,4MQmxIxM5CXKjdq4IrCWhd,False,True,Касета,58,1,track,2021-12-13,['post-punk']
Седьмой лепесток,single,38,['Антон Токарев'],185,1,199603,False,559DoWFlgAAeDImHpfhlVu,False,True,Седьмой лепесток,49,1,track,2021-12-14,[]
Mouse Repellent,single,35,['Ultrasonic Pest Repeller'],185,1,148629,False,3WGLBj9VnnfAs9anq5GFDN,False,True,Mouse Repellent,45,1,track,2021-09-19,[]
Лилии,single,41,"['МОТ', 'JONY']",184,1,198676,False,5YooS9GIteTPkXqntp6cns,False,True,Лилии,51,1,track,2021-03-12,[]
Август - это ты,single,42,['МОТ'],184,1,165405,False,4jkq9bTWSn4phpLK9B5DhO,False,True,Август - это ты,53,1,track,2021-08-27,[]
ТОЛПЫ КРИЧАТ,single,42,"['uniqe', 'nkeeei', 'ARTEM SHILOVETS']",185,1,125538,False,3mcw4dkjfzj5B4Ago9NSmN,False,True,ТОЛПЫ КРИЧАТ,53,1,track,2021-09-28,[]
RY RY WORLD,album,64,['Mariah the Scientist'],185,1,178800,False,7vIDhgD7WWTMpvgJebImoN,False,True,All For Me,65,9,track,2021-07-09,['alternative r&b']
Пополам,single,43,"['BRANYA', 'MACAN']",185,1,141538,False,0nqWnlvSpyqbk2Xp9mncVL,False,True,Пополам,54,1,track,2021-06-14,[]
Your Eyes,single,49,"['Barney Sku', 'Taqiya Zaman']",185,1,107081,False,5pebgx4IJ5YvZH2sYOHDRf,False,True,Your Eyes,59,1,track,2021-05-02,['bangla pop']
"Raataan Lambiyan (From ""Shershaah"")",single,57,"['Tanishk Bagchi', 'Jubin Nautiyal', 'Asees Kaur']",185,1,230292,False,2rOnSn2piaqLAlYjtfUBlY,False,True,"Raataan Lambiyan (From ""Shershaah"")",68,1,track,2021-07-30,"['hindi pop', 'gujarati garba', 'bhajan', 'desi pop', 'bollywood', 'devotional', 'desi']"
Pupus / Risalah Hati,single,51,['Pamungkas'],185,1,301824,False,0pDVCQpK0jAjhWYrzrz91x,False,True,Risalah Hati,59,2,track,2021-06-30,"['indonesian pop', 'indonesian indie']"
Marmalade,single,46,"['Miyagi & Andy Panda', 'Mav-d']",185,1,220363,False,7rvEwAILTqxBpdIyUifkE8,False,True,Marmalade,56,1,track,2021-11-19,[]
Only You,single,43,"['Xcho', 'Пабло', 'ALEMOND']",185,1,226285,False,55HtRsp4RUUXnu3IrplXXZ,False,True,Only You,53,1,track,2021-03-23,[]
Bad,single,54,"['Blaiz Fayah', 'Tribal Kush']",185,1,150303,True,4p1yzpajuKXwZKBQ7PyH9x,False,True,Bad,64,1,track,2021-01-22,"['dancehall', 'moombahton', 'ragga']"
Княжна из хрущёвки,album,44,['DEAD BLONDE'],185,1,180923,False,0yPQB0dC23cqu9isXsIV1l,False,True,Бесприданница,52,1,track,2021-07-02,[]
Дом Периньон,single,45,"['Poshlaya Molly', 'Eldzhey']",185,1,174842,True,0i8YObgqnjZYoYJOQbwLHq,False,True,Дом Периньон,55,1,track,2021-09-17,[]
Guayar Pegao,compilation,44,['Don Omar'],95,1,239493,False,2sNdwUjGOIxflMLZRmwRY9,False,True,Virtual Diva,48,4,track,2021-08-05,"['urbano latino', 'reggaeton']"
BANDANA I,album,56,"['Big Baby Tape', 'kizaru']",185,1,159100,True,1ChhR2PXLSHpeIqFJddF8k,False,True,99 Problems,53,1,track,2021-10-22,[]
Orang Yang Sama,single,54,['Virgoun'],185,1,268534,False,0z7jhodL97W88al5OI1zh1,False,True,Orang Yang Sama,64,1,track,2021-04-15,"['indonesian pop', 'malaysian pop', 'malay']"
Taman Langit,album,56,['Noah'],183,1,199134,False,1lqM76y0TREN56runS7zah,False,True,Yang Terdalam,61,8,track,2021-12-01,"['indorock', 'indonesian pop', 'malay']"
Volví,single,61,"['Aventura', 'Bad Bunny']",185,1,230125,True,2vmfvSoZBFAt9hhRoEByLi,False,True,Volví,72,1,track,2021-08-03,"['urbano latino', 'reggaeton', 'latin', 'bachata pop', 'bachata', 'trap latino']"
магия,single,40,['ooes'],185,1,183829,False,41dtNH6BYBeE7j1FWE52uo,False,True,магия,50,1,track,2021-12-03,[]
Mis Manos,album,69,"['Camilo', 'El Alfa']",185,1,197284,False,3Zf4GutWZ7Hv3wsVQsSQPs,False,True,BEBÉ,69,10,track,2021-03-04,"['dembow', 'urbano latino', 'reggaeton', 'latin', 'colombian pop']"
BANDANA I,album,56,"['Big Baby Tape', 'kizaru']",185,1,134723,True,5Z8YDahqRCzMQRwKZPk5dC,False,True,Million,55,6,track,2021-10-22,[]
